product_number,mfg_number,product_name,vendor,wholesale_price,freight_in,drop_ship_fee,total_wholesale_price,markup,retail_price,shipping_in_price,total_retail_price,rounded_retail_price,previous_price
2614786523,,Flying Alarm Clock - Black,absolutelyNEW,7.50,0.60,0.00,8.10,0.49,15.88,0.00,15.88,15.99,21.49
5558811240,,Flying Alarm Clock - Silver,absolutelyNEW,7.50,0.60,0.00,8.10,0.49,15.88,0.00,15.88,15.99,21.49
6810048370,SC1010,SoftCarpets Interlocking Tiles - SoftCarpets - 10' x 10' Area,Alessco,268.00,0.00,4.50,272.50,0.40,454.17,0.00,454.17,454.49,446.99
1778386468,SC1014,SoftCarpets Interlocking Tiles - SoftCarpets - 10' x 14' Area,Alessco,375.20,0.00,4.50,379.70,0.40,632.83,0.00,632.83,632.99,624.99
5842418207,SC1020,SoftCarpets Interlocking Tiles - SoftCarpets - 10' x 20' Area,Alessco,536.00,0.00,4.50,540.50,0.40,900.83,0.00,900.83,900.99,884.99
1124140882,SC1020,SoftCarpets Interlocking Tiles - SoftCarpets - 12' x 14' Area,Alessco,450.24,0.00,4.50,454.74,0.40,757.90,0.00,757.90,757.99,749.99
2157038047,SC1020,SoftCarpets Interlocking Tiles - SoftCarpets - 20' x 20' Area,Alessco,1072.00,0.00,4.50,1076.50,0.40,1794.17,0.00,1794.17,1794.49,1784.99
6172451431,SC0404,SoftCarpets Interlocking Tiles - SoftCarpets - 4' x 4' Area,Alessco,42.88,0.00,4.50,47.38,0.40,78.97,0.00,78.97,78.99,69.99
7601067535,SC0406,SoftCarpets Interlocking Tiles - SoftCarpets - 4' x 6' Area,Alessco,64.32,0.00,4.50,68.82,0.40,114.70,0.00,114.70,114.99,106.99
4283203640,SC0408,SoftCarpets Interlocking Tiles - SoftCarpets - 4' x 8' Area,Alessco,85.76,0.00,4.50,90.26,0.40,150.43,0.00,150.43,150.49,142.99
878075383,SC0606,SoftCarpets Interlocking Tiles - SoftCarpets - 6'x6' Area,Alessco,96.48,0.00,4.50,100.98,0.40,168.30,0.00,168.30,168.49,159.99
6000244867,SC0812,SoftCarpets Interlocking Tiles - SoftCarpets - 8' x 12' Area,Alessco,257.28,0.00,4.50,261.78,0.40,436.30,0.00,436.30,436.49,428.99
8030208048,SC0808,SoftCarpets Interlocking Tiles - SoftCarpets - 8' x 8' Area,Alessco,171.52,0.00,4.50,176.02,0.40,293.37,0.00,293.37,293.49,285.99
6243433332,SC0202B,SoftCarpets Interlocking Tiles - SoftCarpets - Set of 4 Border Tiles,Alessco,42.88,0.00,4.50,47.38,0.40,78.97,0.00,78.97,78.99,69.99
4131267255,SC0202C,SoftCarpets Interlocking Tiles - SoftCarpets - Set of 4 Corner Tiles,Alessco,42.88,0.00,4.50,47.38,0.40,78.97,0.00,78.97,78.99,69.99
4826057111,SC0202I,SoftCarpets Interlocking Tiles - SoftCarpets - Set of 4 Inside Tiles,Alessco,42.88,0.00,4.50,47.38,0.40,78.97,0.00,78.97,78.99,69.99
5424804066,SF1010,SoftFloors Interlocking Tiles - 10' x 10' Area,Alessco,128.00,0.00,4.50,132.50,0.40,220.83,0.00,220.83,220.99,213.99
1348077563,SF1014,SoftFloors Interlocking Tiles - 10' x 14' Area,Alessco,179.20,0.00,4.50,183.70,0.40,306.17,0.00,306.17,306.49,299.99
8464570415,SF1020,SoftFloors Interlocking Tiles - 10' x 20' Area,Alessco,256.00,0.00,4.50,260.50,0.40,434.17,0.00,434.17,434.49,426.99
7054610,SF1214,SoftFloors Interlocking Tiles - 12' x 14' Area,Alessco,215.04,0.00,4.50,219.54,0.40,365.90,0.00,365.90,365.99,358.99
3741734021,SF2020,SoftFloors Interlocking Tiles - 20' x 20' Area,Alessco,512.00,0.00,4.50,516.50,0.40,860.83,0.00,860.83,860.99,849.99
4757645278,SF0404,SoftFloors Interlocking Tiles - 4' x 4' Area,Alessco,20.48,0.00,4.50,24.98,0.40,41.63,0.00,41.63,41.99,34.99
8188181213,SF0406,SoftFloors Interlocking Tiles - 4' x 6' Area,Alessco,30.72,0.00,4.50,35.22,0.40,58.70,0.00,58.70,58.99,51.99
7600054540,SF0408,SoftFloors Interlocking Tiles - 4' x 8' Area,Alessco,40.96,0.00,4.50,45.46,0.40,75.77,0.00,75.77,75.99,68.99
6171628676,SF0606,SoftFloors Interlocking Tiles - 6' x 6' Area,Alessco,46.08,0.00,4.50,50.58,0.40,84.30,0.00,84.30,84.49,76.99
2885474521,SF0812,SoftFloors Interlocking Tiles - 8' x 12' Area,Alessco,257.28,0.00,4.50,261.78,0.40,436.30,0.00,436.30,436.49,204.99
3080172385,SF0808,SoftFloors Interlocking Tiles - 8' x 8' Area,Alessco,171.52,0.00,4.50,176.02,0.40,293.37,0.00,293.37,293.49,136.99
4310450160,SF0202B,SoftFloors Interlocking Tiles - Set of 4 Border Tiles,Alessco,20.48,0.00,4.50,24.98,0.40,41.63,0.00,41.63,41.99,34.99
4568306725,SF0202C,SoftFloors Interlocking Tiles - Set of 4 Corner Tiles,Alessco,20.48,0.00,4.50,24.98,0.40,41.63,0.00,41.63,41.99,34.99
1630836038,SF0202I,SoftFloors Interlocking Tiles - Set of 4 Inside Tiles,Alessco,20.48,0.00,4.50,24.98,0.40,41.63,0.00,41.63,41.99,34.99
7076881543,,E-Frame Combo Futon - Full (55-3544-050),American Furniture Alliance,100.00,0.00,0.00,100.00,0.50,199.99,0.00,199.99,199.99,199.99
